tipo,fecha,id_tuit,id_conversacion,cuenta_origen,texto,referencia_anuncio,likes,rts
REACCION,2026-03-06 21:43:55+00:00,2030036680426590532,,basubte,"@basubte Una verguenza, a fines de enero ya estaba practicamente lista, estuvieron 1 mes rascandose 😡😡😡😡😡  Espero que en PIEDRAS haya corregido el DESNIVEL QUE HABIA ya que veo han prácticamente terminado el nuevo piso",El lunes 16 reabre Congreso de la Línea A tras las obras de renovación integral.  * Impermeabilización y pintura. * Recambio de pisos y nueva señalética. * Luces LED  y nuevo mobiliario en andén. * Restauración de murales.  Los trabajos continuarán con la estación ya operativa. https://t.co/fFs5iZCCiP,2,0
REACCION,2026-03-06 21:27:22+00:00,2030032516237627524,,basubte,@basubte Habían puesto el 9/3 😭😭😭,El lunes 16 reabre Congreso de la Línea A tras las obras de renovación integral.  * Impermeabilización y pintura. * Recambio de pisos y nueva señalética. * Luces LED  y nuevo mobiliario en andén. * Restauración de murales.  Los trabajos continuarán con la estación ya operativa. https://t.co/fFs5iZCCiP,0,0
REACCION,2026-03-06 21:18:22+00:00,2030030252466925870,,basubte,@basubte Y malabia? La re putisima madre que los parió. Eran 2 meses y ya vamos el doble de tiempo.,El lunes 16 reabre Congreso de la Línea A tras las obras de renovación integral.  * Impermeabilización y pintura. * Recambio de pisos y nueva señalética. * Luces LED  y nuevo mobiliario en andén. * Restauración de murales.  Los trabajos continuarán con la estación ya operativa. https://t.co/fFs5iZCCiP,10,0
REACCION,2026-03-06 20:43:21+00:00,2030021439026339861,,basubte,@basubte Y Malabia???,El lunes 16 reabre Congreso de la Línea A tras las obras de renovación integral.  * Impermeabilización y pintura. * Recambio de pisos y nueva señalética. * Luces LED  y nuevo mobiliario en andén. * Restauración de murales.  Los trabajos continuarán con la estación ya operativa. https://t.co/fFs5iZCCiP,5,0
REACCION,2026-03-06 20:34:14+00:00,2030019143542382946,,basubte,@basubte @silvinabs22 Limpien la estaciones que tienen olor a cloaca y ni hablar de los trenes de la D,El lunes 16 reabre Congreso de la Línea A tras las obras de renovación integral.  * Impermeabilización y pintura. * Recambio de pisos y nueva señalética. * Luces LED  y nuevo mobiliario en andén. * Restauración de murales.  Los trabajos continuarán con la estación ya operativa. https://t.co/fFs5iZCCiP,0,0
REACCION,2026-03-06 20:22:54+00:00,2030016291273052368,,basubte,@basubte Malabia cuando?,El lunes 16 reabre Congreso de la Línea A tras las obras de renovación integral.  * Impermeabilización y pintura. * Recambio de pisos y nueva señalética. * Luces LED  y nuevo mobiliario en andén. * Restauración de murales.  Los trabajos continuarán con la estación ya operativa. https://t.co/fFs5iZCCiP,0,0
REACCION,2026-03-06 19:32:53+00:00,2030003704871419973,,basubte,@basubte POR FIIIIIIIIIIIIIIIIIIIIIIIIIIII. !!!!!!!,El lunes 16 reabre Congreso de la Línea A tras las obras de renovación integral.  * Impermeabilización y pintura. * Recambio de pisos y nueva señalética. * Luces LED  y nuevo mobiliario en andén. * Restauración de murales.  Los trabajos continuarán con la estación ya operativa. https://t.co/fFs5iZCCiP,0,0
REACCION,2026-03-06 18:43:54+00:00,2029991378747330828,,basubte,"@basubte Jajajaja, ya recularon con el mensaje!!! Léase: no habrán escaleras mecánicas operativas, no ganará ventiladores, no habrá carteleria y leds… son inútiles por demás",El lunes 16 reabre Congreso de la Línea A tras las obras de renovación integral.  * Impermeabilización y pintura. * Recambio de pisos y nueva señalética. * Luces LED  y nuevo mobiliario en andén. * Restauración de murales.  Los trabajos continuarán con la estación ya operativa. https://t.co/fFs5iZCCiP,3,0
ANUNCIO,2026-03-06 17:20:40+00:00,2029970430199513448,2029970430199513448,basubte,#Subte | Línea A: Congreso y Piedras cerradas por obras de renovación integral,,6,0
ANUNCIO,2026-03-06 15:39:14+00:00,2029944905292722480,2029944905292722480,basubte,#Subte | Línea B: Viernes y Sábado con horario extendido. Malabia cerrada por obras de renovación..,,17,4
REACCION,2026-03-07 03:28:34+00:00,2030123413914714204,,basubte,@basubte Desde dónde. Están cerradas Alem y Florida.,#Subte | Línea B: Viernes y Sábado con horario extendido. Malabia cerrada por obras de renovación..,0,0
REACCION,2026-03-06 20:27:49+00:00,2030017527284191361,,basubte,@basubte Cuando Vren Malabia llevan 3 meses,#Subte | Línea B: Viernes y Sábado con horario extendido. Malabia cerrada por obras de renovación..,0,0
REACCION,2026-03-06 19:34:13+00:00,2030004038415044737,,basubte,@basubte cuando van a abrir malabia ??,#Subte | Línea B: Viernes y Sábado con horario extendido. Malabia cerrada por obras de renovación..,1,0
REACCION,2026-03-06 17:58:45+00:00,2029980016872694031,,basubte,@basubte Las escaleras mecánicas siguen de paro?,#Subte | Línea B: Viernes y Sábado con horario extendido. Malabia cerrada por obras de renovación..,1,0
REACCION,2026-03-06 16:36:07+00:00,2029959220674633911,,basubte,@basubte No hacen extendido los Domingos ??,#Subte | Línea B: Viernes y Sábado con horario extendido. Malabia cerrada por obras de renovación..,0,0
REACCION,2026-03-06 15:47:01+00:00,2029946863298756993,,basubte,"@basubte @jorgemacri cuando abre malabia? Cuando abra, la estación va estar terminada? O vam a dejar las paredes sin rebocar como en ángel gallardo? Qie lindo negocio inventadas blacri para robar",#Subte | Línea B: Viernes y Sábado con horario extendido. Malabia cerrada por obras de renovación..,9,0
ANUNCIO,2026-03-04 23:29:51+00:00,2029338564433969297,2029338564433969297,basubte,#Subte | Línea D: Estación Tribunales cerrada por obras de renovación integral.,,10,0
REACCION,2026-03-05 22:01:22+00:00,2029678684127350784,,basubte,@basubte La tortura de viajar en los subtes de CABA. Odian al porteño. Maldad es la única explicación.  Soretes,#Subte | Línea D: Estación Tribunales cerrada por obras de renovación integral.,1,0
REACCION,2026-03-05 20:19:09+00:00,2029652961450700969,,basubte,@basubte hasta cuando?,#Subte | Línea D: Estación Tribunales cerrada por obras de renovación integral.,0,0
REACCION,2026-03-05 18:14:36+00:00,2029621617987309882,,basubte,"@basubte Apagan escaleras mecánicas, formaciones sin aire, dejan hacer cualquier cosa a los fizuras y se cagan en el usuario, forros mercenarios hijos de puta.",#Subte | Línea D: Estación Tribunales cerrada por obras de renovación integral.,0,0
REACCION,2026-03-05 11:20:41+00:00,2029517450392256942,,basubte,@basubte Hola.  Y malabia?  Tenia obra por 2 meses y llevan ya 3 y contando.  No pueden cumplir nada. In útiles. In capaces.   @jorgemacri . Podrá hacer algo.  O lla lo tiene que resolver cuando sea gobierno en CABA?,#Subte | Línea D: Estación Tribunales cerrada por obras de renovación integral.,1,0
REACCION,2026-03-05 00:58:41+00:00,2029360918014882192,,basubte,@basubte La nueva boletería será atendida por el Juez Lijo.,#Subte | Línea D: Estación Tribunales cerrada por obras de renovación integral.,0,0
ANUNCIO,2026-03-04 23:21:49+00:00,2029336542250991659,2029336542250991659,basubte,#Subte | Línea D: Servicio normalizado,,2,0
REACCION,2026-03-05 22:01:33+00:00,2029678729631244670,,basubte,@basubte La tortura de viajar en los subtes de CABA. Odian al porteño. Maldad es la única explicación.  Soretes,#Subte | Línea D: Servicio normalizado,0,0
